"timestamp","gpu_util_percent","memory_util_percent","memory_used_mb","memory_total_mb"
"2026-03-28T12:31:04.3565594-06:00","100","54","11552","12282"
"2026-03-28T12:31:04.7437543-06:00","99","35","11546","12282"
"2026-03-28T12:31:05.0432751-06:00","99","35","11546","12282"
"2026-03-28T12:31:05.3600135-06:00","92","32","11546","12282"
"2026-03-28T12:31:05.6586681-06:00","99","56","11533","12282"
"2026-03-28T12:31:05.9725647-06:00","99","56","11533","12282"
"2026-03-28T12:31:06.2722734-06:00","95","25","11533","12282"
"2026-03-28T12:31:06.5716094-06:00","99","57","11533","12282"
"2026-03-28T12:31:06.8692404-06:00","99","57","11533","12282"
"2026-03-28T12:31:07.1690864-06:00","99","41","11533","12282"
"2026-03-28T12:31:07.4669852-06:00","99","41","11533","12282"
"2026-03-28T12:31:07.8125983-06:00","98","43","11533","12282"
"2026-03-28T12:31:08.1112731-06:00","100","53","11533","12282"
"2026-03-28T12:31:08.4118911-06:00","100","53","11501","12282"
"2026-03-28T12:31:08.7272143-06:00","98","31","11441","12282"
"2026-03-28T12:31:09.0419171-06:00","99","47","11431","12282"
"2026-03-28T12:31:09.3900749-06:00","99","47","11424","12282"
"2026-03-28T12:31:09.7077405-06:00","100","53","11424","12282"
"2026-03-28T12:31:10.0088959-06:00","100","53","11424","12282"
"2026-03-28T12:31:10.3091145-06:00","84","28","11424","12282"
"2026-03-28T12:31:10.6250609-06:00","100","54","11424","12282"
"2026-03-28T12:31:10.9257883-06:00","100","54","11424","12282"
"2026-03-28T12:31:11.2902830-06:00","98","30","11424","12282"
"2026-03-28T12:31:11.6210120-06:00","100","53","11424","12282"
"2026-03-28T12:31:11.9196825-06:00","100","53","11424","12282"
"2026-03-28T12:31:12.2208402-06:00","99","31","11424","12282"
"2026-03-28T12:31:12.5208924-06:00","99","31","11424","12282"
"2026-03-28T12:31:12.8365099-06:00","94","33","11424","12282"
"2026-03-28T12:31:13.1677215-06:00","100","55","11424","12282"
"2026-03-28T12:31:13.4677898-06:00","100","55","11424","12282"
"2026-03-28T12:31:13.7988735-06:00","97","23","11424","12282"
"2026-03-28T12:31:14.1005900-06:00","99","55","11424","12282"
"2026-03-28T12:31:14.3988449-06:00","99","55","11424","12282"
"2026-03-28T12:31:14.6994336-06:00","100","42","11424","12282"
"2026-03-28T12:31:14.9991572-06:00","100","42","11424","12282"
"2026-03-28T12:31:15.3488923-06:00","91","39","11424","12282"
"2026-03-28T12:31:15.6479806-06:00","99","54","11424","12282"
"2026-03-28T12:31:15.9668669-06:00","99","54","11424","12282"
"2026-03-28T12:31:16.2659958-06:00","98","31","11424","12282"
"2026-03-28T12:31:16.5818296-06:00","97","39","11424","12282"
